name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
opisthokonta,hp2,21,2,1.855024633963628e-07,2097150,6.321629908943605,6.321629494767914,-4.1417569107693453e-07
opisthokonta,hp2,22,2,2.8426690760051855e-06,4192349,6.622659904607587,6.6224574291438945,-0.00020247546369223102
opisthokonta,hp2,23,2,3.916390048222699e-05,8241543,6.923689900271568,6.916008528887811,-0.007681371383757352
opisthokonta,hp2,24,2,0.0003536202577235232,14748145,7.224719895935548,7.168737398827645,-0.055982497107903484
opisthokonta,hp2,25,2,0.0016026531057289977,22316455,7.52574989159953,7.348625207460272,-0.1771246841392573
opisthokonta,hp2,26,2,0.003963730618128776,28868057,7.826779887263511,7.46041755414136,-0.36636233312215083
opisthokonta,hp2,27,2,0.006620423833229773,33535010,8.127809882927492,7.525498440181491,-0.602311442746001
opisthokonta,hp2,28,2,0.008828372876699386,36526831,8.428839878591473,7.562611995263842,-0.8662278833276309
opisthokonta,hp2,29,2,0.01038864035646543,38365435,8.729869874255455,7.583940126739244,-1.1459297475162105
opisthokonta,hp2,30,2,0.01143452337120242,39496781,9.030899869919436,7.596561701932684,-1.434338167986752
opisthokonta,hp2,31,2,0.012127563231801577,40213916,9.331929865583417,7.604376366422537,-1.72755349916088
opisthokonta,hp2,32,2,0.012613835109853214,40694377,9.632959861247398,7.609534404149547,-2.0234254570978516
opisthokonta,hp2,33,2,0.012965065437378145,41038524,9.93398985691138,7.613191732459933,-2.3207981244514464
opisthokonta,hp2,34,2,0.013240187985495547,41301747,10.23501985257536,7.615968422029609,-2.6190514305457517
opisthokonta,hp2,35,2,0.013464745078287517,41516422,10.536049848239342,7.618219917754316,-2.917829930485026
opisthokonta,hp2,36,2,0.013652489229690415,41699060,10.837079843903323,7.620126265011784,-3.2169535788915393
opisthokonta,hp2,37,2,0.01382766116025902,41859394,11.138109839567305,7.62179293675085,-3.5163169028164543
opisthokonta,hp2,38,2,0.013984922627831242,42004481,11.439139835231286,7.623295623011401,-3.8158442122198846
opisthokonta,hp2,39,2,0.014127266345702003,42136231,11.740169830895267,7.624655686252935,-4.115514144642332
opisthokonta,hp2,40,2,0.014257137810328818,42257472,12.041199826559248,7.625903512373424,-4.415296314185825
opisthokonta,hp2,41,2,0.014382373237883233,42368958,12.34222982222323,7.627047783320914,-4.715182038902316
opisthokonta,hp2,42,2,0.014498326400236562,42471530,12.64325981788721,7.628097906354199,-5.015161911533012
opisthokonta,hp2,43,2,0.014603586400567121,42566609,12.944289813551192,7.629069054188261,-5.315220759362931
opisthokonta,hp2,44,2,0.014697479112339474,42654534,13.245319809215173,7.629965201658855,-5.615354607556318
opisthokonta,hp2,45,2,0.014797715290690412,42737110,13.546349804879155,7.630805150643007,-5.915544654236148
opisthokonta,hp2,46,2,0.014871375655909028,42811853,13.847379800543136,7.6315640255511745,-6.215815774991961
opisthokonta,hp2,47,2,0.014948877590344807,42881623,14.148409796207117,7.63227121433875,-6.5161385818683675
opisthokonta,hp2,48,2,0.015023980070408043,42944383,14.449439791871097,7.632906367430749,-6.8165334244403475
opisthokonta,hp2,49,2,0.015089060973968277,43003621,14.750469787535078,7.633505025675162,-7.116964761859916
opisthokonta,hp2,50,2,0.015149105076990204,43056655,15.05149978319906,7.6340402871811515,-7.417459496017908
